A1,A2,A3,A4,A5,A6,A7
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.7605273621107755e-07,0.0,-1.748333996003491e-06,0.0,1.3802636810553877e-06,0.0
0.0,-2.193412299994302e-06,0.0,-1.3891611233297246e-05,0.0,1.0967061499971511e-05,0.0
0.0,-7.35229352347798e-06,0.0,-4.6564525648693873e-05,0.0,3.6761467617389894e-05,0.0
0.0,-1.7308456084600246e-05,0.0,-0.00010962022186913489,0.0,8.654228042300123e-05,0.0
0.0,-3.3573614232032456e-05,0.0,-0.00021263289013620558,0.0,0.00016786807116016232,0.0
0.0,-5.7615846510102625e-05,0.0,-0.0003649003612306499,0.0,0.0002880792325505131,0.0
0.0,-9.086000548371885e-05,0.0,-0.0005754467013968861,0.0,0.00045430002741859423,0.0
0.0,-0.0001346881274632926,0.0,-0.0008530248072675197,0.0,0.0006734406373164629,0.0
0.0,-0.00019043984222966227,0.0,-0.0012061190007878612,0.0,0.0009521992111483114,0.0
0.0,-0.00025941278275901677,0.0,-0.0016429476241404397,0.0,0.001297063913795084,0.0
0.0,-0.00034286299494781824,0.0,-0.0021714656346695158,0.0,0.0017143149747390913,0.0
0.0,-0.00044200534733772643,0.0,-0.0027993671998056005,0.0,0.002210026736688632,0.0
0.0,-0.0005580139408405214,0.0,-0.003534088291989969,0.0,0.002790069704202607,0.0
0.0,-0.0006920225184630271,0.0,-0.004382809283599172,0.0,0.0034601125923151357,0.0
0.0,-0.0008451248750320347,0.0,-0.005352457541869553,0.0,0.004225624375160174,0.0
0.0,-0.0010183752669192265,0.0,-0.0064497100238217675,0.0,0.0050918763345961324,0.0
0.0,-0.0012127888217660985,0.0,-0.007680995871185291,0.0,0.006063944108830493,0.0
0.0,-0.0014293419482088849,0.0,-0.009052499005322939,0.0,0.007146709741044425,0.0
0.0,-0.0016689727456034816,0.0,-0.010570160722155383,0.0,0.00834486372801741,0.0
0.0,-0.0019325814137503656,0.0,-0.012239682287085649,0.0,0.009662907068751829,0.0
0.0,-0.002221030662619526,0.0,-0.014066527529923665,0.0,0.01110515331309763,0.0
0.0,-0.0025351461220753787,0.0,-0.016055925439810735,0.0,0.012675730610376894,0.0
0.0,-0.0028757167516017,0.0,-0.0182128727601441,0.0,0.0143785837580085,0.0
0.0,-0.003243495250026539,0.0,-0.020542136583501413,0.0,0.016217476250132694,0.0
0.0,-0.003639198465247149,0.0,-0.02304825694656528,0.0,0.018195992326235748,0.0
0.0,-0.004063507803954906,0.0,-0.02573554942504774,0.0,0.020317539019774532,0.0
0.0,-0.004517069641360238,0.0,-0.028608107728614836,0.0,0.022585348206801185,0.0
0.0,-0.00500049573091754,0.0,-0.031669806295811086,0.0,0.025002478654587698,0.0
0.0,-0.005514363614050105,0.0,-0.034924302888983995,0.0,0.02757181807025052,0.0
0.0,-0.006059217029875046,0.0,-0.03837504118920862,0.0,0.030296085149375228,0.0
0.0,-0.006635566324928212,0.0,-0.04202525339121201,0.0,0.033177831624641066,0.0
0.0,-0.007243888862889127,0.0,-0.0458779627982978,0.0,0.03621944431444563,0.0
0.0,-0.007884629434305894,0.0,-0.04993598641727067,0.0,0.03942314717152948,0.0
0.0,-0.008558200666320131,0.0,-0.05420193755336083,0.0,0.04279100333160066,0.0
0.0,-0.009264983432391901,0.0,-0.0586782284051487,0.0,0.046324917161959495,0.0
0.0,-0.010005327262024601,0.0,-0.06336707265948915,0.0,0.05002663631012301,0.0
0.0,-0.010779550750489949,0.0,-0.06827048808643635,0.0,0.053897753752449734,0.0
0.0,-0.011587941968552836,0.0,-0.07339029913416796,0.0,0.057939709842764184,0.0
0.0,-0.012430758872196288,0.0,-0.07872813952390982,0.0,0.06215379436098144,0.0
0.0,-0.013308229712346395,0.0,-0.08428545484486051,0.0,0.06654114856173199,0.0
0.0,-0.01422055344459722,0.0,-0.09006350514911571,0.0,0.07110276722298609,0.0
0.0,-0.015167900138935719,0.0,-0.09606336754659289,0.0,0.0758395006946786,0.0
0.0,-0.016150411389466678,0.0,-0.10228593879995561,0.0,0.08075205694733337,0.0
0.0,-0.01716820072413761,0.0,-0.1087319379195382,0.0,0.08584100362068804,0.0
0.0,-0.018221354014463738,0.0,-0.11540190875827032,0.0,0.09110677007231868,0.0
0.0,-0.019309929885252833,0.0,-0.12229622260660127,0.0,0.09654964942626415,0.0
0.0,-0.02043396012433022,0.0,-0.12941508078742472,0.0,0.1021698006216511,0.0
0.0,-0.021593450092263627,0.0,-0.13675851725100296,0.0,0.10796725046131811,0.0
0.0,-0.022788379132088185,0.0,-0.14432640116989182,0.0,0.11394189566044093,0.0
0.0,-0.024018700979031284,0.0,-0.15211843953386484,0.0,0.12009350489515642,0.0
0.0,-0.02528434417023752,0.0,-0.16013417974483762,0.0,0.12642172085118764,0.0
0.0,-0.02658521245449366,0.0,-0.1683730122117932,0.0,0.1329260622724683,0.0
0.0,-0.027921185201953486,0.0,-0.17683417294570536,0.0,0.1396059260097674,0.0
0.0,-0.029292117813862782,0.0,-0.18551674615446428,0.0,0.1464605890693139,0.0
0.0,-0.030697842132284228,0.0,-0.19441966683780013,0.0,0.15348921066142115,0.0
0.0,-0.03213816684982233,0.0,-0.20354172338220816,0.0,0.16069083424911168,0.0
0.0,-0.03361287791934836,0.0,-0.212881560155873,0.0,0.16806438959674186,0.0
0.0,-0.03512173896372526,0.0,-0.22243768010359327,0.0,0.17560869481862623,0.0
0.0,-0.03666449168553255,0.0,-0.23220844734170618,0.0,0.18332245842766276,0.0
0.0,-0.03824085627679127,0.0,-0.24219208975301132,0.0,0.1912042813839563,0.0
0.0,-0.03985053182868893,0.0,-0.2523867015816965,0.0,0.19925265914344464,0.0
0.0,-0.041493196741304396,0.0,-0.2627902460282612,0.0,0.20746598370652203,0.0
0.0,-0.04316850913333283,0.0,-0.2734005578444413,0.0,0.21584254566666422,0.0
0.0,-0.04487610725181061,0.0,-0.28421534592813386,0.0,0.22438053625905305,0.0
0.0,-0.046615609881840214,0.0,-0.2952321959183214,0.0,0.2330780494092011,0.0
0.0,-0.04838661675631526,0.0,-0.3064485727899967,0.0,0.2419330837815763,0.0
0.0,-0.05018870896564525,0.0,-0.31786182344908664,0.0,0.2509435448282263,0.0
0.0,-0.052021449367480675,0.0,-0.32946917932737757,0.0,0.2601072468374034,0.0
0.0,-0.05388438299643782,0.0,-0.34126775897743955,0.0,0.26942191498218915,0.0
0.0,-0.05577703747382378,0.0,-0.3532545706675506,0.0,0.2788851873691189,0.0
0.0,-0.057698923417361214,0.0,-0.36542651497662093,0.0,0.288494617086806,0.0
0.0,-0.05964953485091346,0.0,-0.3777803873891186,0.0,0.29824767425456733,0.0
0.0,-0.06162834961420945,0.0,-0.3903128808899932,0.0,0.3081417480710472,0.0
0.0,-0.0636348297725684,0.0,-0.4030205885595999,0.0,0.31817414886284195,0.0
0.0,-0.06566842202662504,0.0,-0.4159000061686252,0.0,0.3283421101331252,0.0
0.0,-0.06772855812205432,0.0,-0.4289475347730107,0.0,0.33864279061027164,0.0
0.0,-0.0698146552592964,0.0,-0.4421594833088773,0.0,0.3490732762964821,0.0
0.0,-0.07192611650328168,0.0,-0.45553207118745065,0.0,0.3596305825164085,0.0
0.0,-0.07406233119315551,0.0,-0.4690614308899849,0.0,0.3703116559657776,0.0
0.0,-0.07622267535200328,0.0,-0.48274361056268755,0.0,0.3811133767600165,0.0
0.0,-0.07840651209657533,0.0,-0.49657457661164367,0.0,0.3920325604828766,0.0
0.0,-0.08061319204701176,0.0,-0.510550216297741,0.0,0.4030659602350587,0.0
0.0,-0.08284205373656747,0.0,-0.5246663403315939,0.0,0.41421026868283733,0.0
0.0,-0.08509242402133703,0.0,-0.5389186854684679,0.0,0.4254621201066852,0.0
0.0,-0.08736361848997962,0.0,-0.5533029171032042,0.0,0.436818092449898,0.0
0.0,-0.089654941873444,0.0,-0.5678146318651454,0.0,0.44827470936721997,0.0
0.0,-0.0919656884546933,0.0,-0.5824493602130576,0.0,0.4598284422734664,0.0
0.0,-0.09429514247843,0.0,-0.5972025690300569,0.0,0.47147571239215,0.0
0.0,-0.0966425785608211,0.0,-0.6120696642185337,0.0,0.48321289280410556,0.0
0.0,-0.09900726209922256,0.0,-0.627045993295076,0.0,0.49503631049611274,0.0
0.0,-0.10138844968190461,0.0,-0.6421268479853958,0.0,0.506942248409523,0.0
0.0,-0.10378538949777649,0.0,-0.6573074668192512,0.0,0.5189269474888826,0.0
0.0,-0.1061973217461116,0.0,-0.6725830377253734,0.0,0.530986608730558,0.0
0.0,-0.10862347904627202,0.0,-0.6879487006263894,0.0,0.5431173952313602,0.0
