A1,A2,A3,A4,A5,A6,A7
0,0,0,0,0,0,0
-6.22045915089122e-06,3.85386285564461e-06,-9.50755551906937e-06,-9.93110237905781e-06,-5.81259532551232e-06,-5.99086419046333e-06,9.5273882580374e-06
-2.48818366035649e-05,1.54154514225784e-05,-3.80302220762775e-05,-3.97244095162312e-05,-2.32503813020493e-05,-2.39634567618533e-05,3.81095530321496e-05
-5.5984132358021e-05,3.46847657008015e-05,-8.55679996716244e-05,-8.93799214115203e-05,-5.23133579296109e-05,-5.391777771417e-05,8.57464943223366e-05
-9.95273464142596e-05,6.16618056903137e-05,-0.00015212088830511,-0.000158897638064925,-9.30015252081972e-05,-9.58538270474133e-05,0.000152438212128598
-0.000155511478772281,9.63465713911152e-05,-0.000237688887976734,-0.000248277559476445,-0.000145314883137808,-0.000149771604761583,0.000238184706450935
-0.000223936529432084,0.000138739062803206,-0.000342271998686498,-0.000357519685646081,-0.000209253431718444,-0.00021567111085668,0.000342985977289346
-0.00030480249839367,0.000188839279926586,-0.000465870220434399,-0.000486624016573832,-0.000284817170950104,-0.000293552345332703,0.000466842024643832
-0.000398109385657038,0.000246647222761255,-0.00060848355322044,-0.0006355905522597,-0.000372006100832789,-0.000383415308189653,0.000609752848514393
-0.000503857191222189,0.000312162891307213,-0.000770111997044619,-0.000804419292703682,-0.000470820221366498,-0.00048525999942753,0.000771718448901029
-0.000622045915089122,0.000385386285564461,-0.000950755551906938,-0.000993110237905781,-0.000581259532551232,-0.000599086419046333,0.00095273882580374
-0.000752675557257838,0.000466317405532998,-0.00115041421780739,-0.00120166338786599,-0.000703324034386991,-0.000724894567046063,0.00115281397922253
-0.000895746117728336,0.000554956251212824,-0.00136908799474599,-0.00143007874258432,-0.000837013726873775,-0.000862684443426719,0.00137194390915739
-0.00105125759650062,0.000651302822603939,-0.00160677688272272,-0.00167835630206077,-0.000982328610011583,-0.0010124560481883,0.00161012861560832
-0.00121920999357468,0.000755357119706343,-0.0018634808817376,-0.00194649606629533,-0.00113926868380042,-0.00117420938133081,0.00186736809857533
-0.00139960330895053,0.000867119142520037,-0.00213919999179061,-0.00223449803528801,-0.00130783394824027,-0.00134794444285425,0.00214366235805841
-0.00159243754262815,0.00098658889104502,-0.00243393421288176,-0.0025423622090388,-0.00148802440333116,-0.00153366123275861,0.00243901139405757
-0.00179771269460756,0.00111376636528129,-0.00274768354501105,-0.00287008858754771,-0.00167984004907306,-0.0017313597510439,0.00275341520657281
-0.00201542876488876,0.00124865156522885,-0.00308044798817848,-0.00321767717081473,-0.00188328088546599,-0.00194103999771012,0.00308687379560412
-0.00224558575347173,0.0013912444908877,-0.00343222754238404,-0.00358512795883987,-0.00209834691250995,-0.00216270197275726,0.0034393871611515
-0.00248818366035649,0.00154154514225784,-0.00380302220762775,-0.00397244095162312,-0.00232503813020493,-0.00239634567618533,0.00381095530321496
-0.00274322248554303,0.00169955351933927,-0.00419283198390959,-0.00437961614916449,-0.00256335453855094,-0.00264197110799433,0.00420157822179449
-0.00301070222903135,0.00186526962213199,-0.00460165687122958,-0.00480665355146398,-0.00281329613754797,-0.00289957826818425,0.0046112559168901
-0.00329062289082146,0.002038693450636,-0.0050294968695877,-0.00525355315852158,-0.00307486292719602,-0.0031691671567551,0.00503998838850178
-0.00358298447091334,0.00221982500485129,-0.00547635197898396,-0.0057203149703373,-0.0033480549074951,-0.00345073777370688,0.00548777563662954
-0.00388778696930701,0.00240866428477788,-0.00594222219941836,-0.00620693898691113,-0.0036328720784452,-0.00374429011903958,0.00595461766127337
-0.00420503038600247,0.00260521129041576,-0.0064271075308909,-0.00671342520824308,-0.00392931444004633,-0.00404982419275321,0.00644051446243328
-0.0045347147209997,0.00280946602176492,-0.00693100797340157,-0.00723977363433314,-0.00423738199229848,-0.00436733999484777,0.00694546604010926
-0.00487683997429872,0.00302142847882537,-0.00745392352695039,-0.00778598426518132,-0.00455707473520166,-0.00469683752532325,0.00746947239430132
-0.00523140614589952,0.00324109866159712,-0.00799585419153734,-0.00835205710078762,-0.00488839266875587,-0.00503831678417966,0.00801253352500945
-0.0055984132358021,0.00346847657008015,-0.00855679996716244,-0.00893799214115203,-0.00523133579296109,-0.005391777771417,0.00857464943223366
-0.00597786124400646,0.00370356220427447,-0.00913676085382567,-0.00954378938627455,-0.00558590410781734,-0.00575722048703526,0.00915582011597394
-0.00636975017051261,0.00394635556418008,-0.00973573685152704,-0.0101694488361552,-0.00595209761332462,-0.00613464493103445,0.00975604557623029
-0.00677408001532054,0.00419685664979698,-0.0103537279602666,-0.010814970490794,-0.00632991630948292,-0.00652405110341456,0.0103753258130027
-0.00719085077843025,0.00445506546112517,-0.0109907341800442,-0.0114803543501908,-0.00671936019629225,-0.00692543900417561,0.0110136608262912
-0.00762006245984175,0.00472098199816464,-0.01164675551086,-0.0121656004143458,-0.0071204292737526,-0.00733880863331758,0.0116710506160958
-0.00806171505955503,0.00499460626091541,-0.0123217919527139,-0.0128707086832589,-0.00753312354186397,-0.00776415999084047,0.0123474951824165
-0.00851580857757009,0.00527593824937747,-0.013015843505606,-0.0135956791569301,-0.00795744300062637,-0.0082014930767443,0.0130429945252532
-0.00898234301388692,0.00556497796355081,-0.0137289101695362,-0.0143405118353595,-0.0083933876500398,-0.00865080789102904,0.013757548644606
-0.00946131836850555,0.00586172540343545,-0.0144609919445045,-0.0151052067185469,-0.00884095749010425,-0.00911210443369472,0.0144911575404749
