A1,A2,A3,A4,A5,A6,A7
0.0,-0.0002720114364412122,0.0,-0.0017227390974610109,0.0,0.0013600571822060612,0.0
0.0,-0.00028792513064513823,0.0,-0.0018235258274192086,0.0,0.001439625653225691,0.0
0.0,-0.0003044315525390766,0.0,-0.0019280664994141515,0.0,0.0015221577626953829,0.0
0.0,-0.0003215403281787052,0.0,-0.002036422078465133,0.0,0.0016077016408935258,0.0
0.0,-0.00033926101904432324,0.0,-0.0021486531206140473,0.0,0.0016963050952216161,0.0
0.0,-0.00035760312216961694,0.0,-0.0022648197737409072,0.0,0.0017880156108480846,0.0
0.0,-0.0003765760702704228,0.0,-0.002384981778379344,0.0,0.0018828803513521138,0.0
0.0,-0.000396189231873493,0.0,-0.002509198468532122,0.0,0.001980946159367465,0.0
0.0,-0.0004164519114452592,0.0,-0.0026375287724866416,0.0,0.002082259557226296,0.0
0.0,-0.0004373733495205974,0.0,-0.00277003121363045,0.0,0.002186866747602987,0.0
0.0,-0.0004589627228315922,0.0,-0.0029067639112667506,0.0,0.0022948136141579607,0.0
0.0,-0.00048122914443630136,0.0,-0.0030477845814299086,0.0,0.0024061457221815066,0.0
0.0,-0.0005041816638475203,0.0,-0.0031931505377009615,0.0,0.0025209083192376013,0.0
0.0,-0.0005278292671615463,0.0,-0.0033429186920231266,0.0,0.0026391463358077316,0.0
0.0,-0.0005521808771869434,0.0,-0.0034971455555173085,0.0,0.002760904385934717,0.0
0.0,-0.0005772453535733067,0.0,-0.0036558872392976087,0.0,0.0028862267678665334,0.0
0.0,-0.0006030314929400262,0.0,-0.003819199455286833,0.0,0.0030151574647001313,0.0
0.0,-0.0006295480290050525,0.0,-0.003987137517032,0.0,0.0031477401450252626,0.0
0.0,-0.0006568036327136601,0.0,-0.004159756340519847,0.0,0.0032840181635683005,0.0
0.0,-0.0006848069123672127,0.0,-0.004337110444992348,0.0,0.003424034561836064,0.0
0.0,-0.0007135664137519268,0.0,-0.004519253953762203,0.0,0.0035678320687596342,0.0
0.0,-0.0007430906202676373,0.0,-0.00470624059502837,0.0,0.0037154531013381866,0.0
0.0,-0.0007733879530565603,0.0,-0.004898123702691548,0.0,0.0038669397652828013,0.0
0.0,-0.0008044667711320603,0.0,-0.005094956217169716,0.0,0.004022333855660302,0.0
0.0,-0.000836335371507411,0.0,-0.0052967906862136024,0.0,0.004181676857537055,0.0
0.0,-0.0008690019893245632,0.0,-0.005503679265722234,0.0,0.004345009946622816,0.0
0.0,-0.0009024747979829069,0.0,-0.00571567372055841,0.0,0.004512373989914534,0.0
0.0,-0.0009367619092680373,0.0,-0.005932825425364236,0.0,0.004683809546340186,0.0
0.0,-0.0009718713734805176,0.0,-0.006155185365376611,0.0,0.004859356867402588,0.0
0.0,-0.001007811179564646,0.0,-0.0063828041372427586,0.0,0.0050390558978232304,0.0
0.0,-0.0010445892552372168,0.0,-0.006615731949835706,0.0,0.005222946276186084,0.0
0.0,-0.0010822134671162888,0.0,-0.006854018625069829,0.0,0.005411067335581444,0.0
